cpf_anonimizado;valor_contrato;prazo_meses;taxa_juros_mensal;taxa_juros_anual;parcela_mensal;data_inicio;data_vencimento;meses_decorridos;saldo_devedor;status;valor_em_atraso;data_inadimplencia;data_retorno_pagamento
ANON-CAFA6A5F45E0;143755,79;84;2,2396;30,4457;3812,8;2015-04-13;2022-04-13;84;0,0;inadimplente;3812,8;2018-08-04;
ANON-6AF01AF8DFC5;122548,78;12;1,4128;18,335;11174,33;2015-04-14;2016-04-14;12;0,0;ativo;0,0;2017-10-18;2020-10-30
ANON-15B400B791AB;4904,02;84;1,9092;25,476;117,65;2015-04-15;2022-04-15;84;0,0;ativo;0,0;2018-12-12;2024-11-06
ANON-F52FCAD0A3A8;132303,75;24;2,2084;29,9688;7161,27;2015-04-15;2017-04-15;24;0,0;inadimplente;7161,27;2021-07-04;
ANON-D16505F5F309;82692,72;60;2,0509;27,5857;2408,31;2015-04-19;2020-04-19;60;0,0;ativo;0,0;;
ANON-76F828C2AEF4;74834,69;12;1,4382;18,6912;6834,46;2015-04-23;2016-04-23;12;0,0;liquidado;0,0;;
ANON-26478264159A;35579,99;96;1,5575;20,3771;716,71;2015-04-23;2023-04-23;96;0,0;ativo;0,0;2019-04-17;2021-11-15
ANON-8DCF2804DCDE;66916,05;48;2,0602;27,7253;2208,4;2015-04-25;2019-04-25;48;0,0;ativo;0,0;;
ANON-8F5AB2949EF8;49166,62;36;1,5701;20,5565;1798,31;2015-04-27;2018-04-27;36;0,0;ativo;0,0;;
ANON-0950603247B5;102238,17;60;2,2496;30,5989;3121,58;2015-04-29;2020-04-29;60;0,0;liquidado;0,0;;
ANON-BDB7A5EB894B;112462,57;60;1,8555;24,6849;3123,13;2015-05-01;2020-05-01;60;0,0;ativo;0,0;2020-09-21;2024-07-26
ANON-EDFBF2A7489A;18797,82;48;1,8681;24,8701;596,51;2015-05-02;2019-05-02;48;0,0;ativo;0,0;;
ANON-AFB618E3EE1F;104812,02;84;2,3822;32,6458;2897,91;2015-05-02;2022-05-02;84;0,0;ativo;0,0;;
ANON-8D74A8B5D098;115041,1;60;1,704;22,4775;3076,63;2015-05-03;2020-05-03;60;0,0;ativo;0,0;;
ANON-4DCB85A5D718;6136,18;12;2,2688;30,8935;589,86;2015-05-05;2016-05-05;12;0,0;liquidado;0,0;;
ANON-44DFDD7461BA;39342,27;24;1,9278;25,7511;2063,1;2015-05-05;2017-05-05;24;0,0;ativo;0,0;;
ANON-1F5EA036046E;90343,22;36;1,7494;23,1352;3403,35;2015-05-07;2018-05-07;36;0,0;ativo;0,0;;
ANON-0CFBCEF2BB56;6007,89;48;1,6684;21,9641;182,89;2015-05-08;2019-05-08;48;0,0;liquidado;0,0;;
ANON-D9F1DFFD7495;132666,28;24;2,2604;30,7645;7222,82;2015-05-13;2017-05-13;24;0,0;ativo;0,0;;
ANON-E2926637A5D5;5501,28;48;2,2183;30,1199;187,41;2015-05-15;2019-05-15;48;0,0;ativo;0,0;;
ANON-D3FB1AD8D3FB;100248,83;96;1,9263;25,7289;2299,32;2015-05-17;2023-05-17;96;0,0;ativo;0,0;2024-01-08;2025-08-14
ANON-18C285451754;139535,47;12;1,4055;18,2328;12717,43;2015-05-17;2016-05-17;12;0,0;ativo;0,0;;
ANON-4D7E497D489E;122857,46;72;1,9781;26,4978;3214,88;2015-05-19;2021-05-19;72;0,0;ativo;0,0;2015-06-14;2025-07-27
ANON-B4DF141E34DD;96500,91;72;1,8296;24,305;2422,13;2015-05-23;2021-05-23;72;0,0;inadimplente;2422,13;2024-08-08;
ANON-CBCD94AB2E2C;43256,57;96;1,4373;18,6785;833,54;2015-05-24;2023-05-24;96;0,0;inadimplente;833,54;2017-09-25;
ANON-05E6DF3333D5;143027,36;48;1,9529;26,1232;4618,38;2015-05-24;2019-05-24;48;0,0;ativo;0,0;;
ANON-454E777BD057;68783,86;36;1,6914;22,2956;2566,67;2015-05-25;2018-05-25;36;0,0;ativo;0,0;2019-10-16;2022-02-27
ANON-9C20AE211B81;47078,21;84;2,0695;27,865;1186,63;2015-05-27;2022-05-27;84;0,0;ativo;0,0;;
ANON-919014B29520;96415,88;96;1,6099;21,1246;1979,45;2015-05-27;2023-05-27;96;0,0;inadimplente;1979,45;2016-10-01;
ANON-8F0DB709C673;35285,37;84;1,4206;18,4443;722,05;2015-05-28;2022-05-28;84;0,0;liquidado;0,0;;
ANON-090B70778816;38224,09;60;1,9999;26,8227;1099,6;2015-05-29;2020-05-29;60;0,0;liquidado;0,0;;
ANON-999A5A10733E;100442,14;24;1,4673;19,1004;4995,46;2015-05-29;2017-05-29;24;0,0;ativo;0,0;;
ANON-D785E0EB5F9B;94713,25;96;2,3563;32,2437;2498,87;2015-06-02;2023-06-02;96;0,0;ativo;0,0;;
ANON-4CF11FBF179E;24620,97;36;1,9998;26,8212;965,92;2015-06-03;2018-06-03;36;0,0;ativo;0,0;;
ANON-D66B761ED427;111122,12;36;1,5584;20,3899;4056,5;2015-06-04;2018-06-04;36;0,0;liquidado;0,0;;
ANON-BD5CCCF79221;34070,89;84;1,5919;20,8673;738,29;2015-06-04;2022-06-04;84;0,0;ativo;0,0;2025-02-24;2025-07-15
ANON-0D7758A88D5D;106026,15;60;2,0958;28,261;3121,31;2015-06-04;2020-06-04;60;0,0;inadimplente;3121,31;2022-10-26;
ANON-2093B0E2ECD7;125491,44;96;1,8279;24,2801;2782,82;2015-06-06;2023-06-06;96;0,0;inadimplente;2782,82;2016-12-10;
ANON-69E2F7BB5F60;122441,68;36;1,4237;18,4877;4370,52;2015-06-10;2018-06-10;36;0,0;ativo;0,0;;
ANON-AA149A34D7D3;43833,48;12;1,7961;23,8151;4093,15;2015-06-12;2016-06-12;12;0,0;ativo;0,0;;
ANON-49DE57E1A2A3;10323,1;12;1,6899;22,2739;957,65;2015-06-13;2016-06-13;12;0,0;ativo;0,0;;
ANON-9D17327AA2D1;30644,55;84;1,5086;19,6834;645,94;2015-06-13;2022-06-13;84;0,0;liquidado;0,0;;
ANON-66ED429D33D4;39134,92;96;1,9215;25,6579;896,14;2015-06-21;2023-06-21;96;0,0;ativo;0,0;;
ANON-2ED68F18D550;43163,95;60;2,2958;31,3087;1332,24;2015-06-22;2020-06-22;60;0,0;liquidado;0,0;;
ANON-43D8E68600AF;27292,56;24;1,739;22,9843;1400,68;2015-06-24;2017-06-24;24;0,0;ativo;0,0;;
ANON-E42CBA6445E8;105964,28;96;1,7949;23,7976;2323,02;2015-06-24;2023-06-24;96;0,0;ativo;0,0;;
ANON-0B086C70C2DF;86655,49;96;2,184;29,597;2164,59;2015-06-25;2023-06-25;96;0,0;ativo;0,0;2015-12-12;2019-03-03
ANON-639320DF7288;142740,71;72;1,4933;19,4671;3249,12;2015-06-26;2021-06-26;72;0,0;inadimplente;3249,12;2025-02-12;
ANON-2F781198C92C;80454,22;12;2,0121;27,0048;7613,37;2015-06-29;2016-06-29;12;0,0;ativo;0,0;;
ANON-E95E1BA524C4;27541,99;96;1,7281;22,8263;589,82;2015-06-29;2023-06-29;96;0,0;ativo;0,0;;
ANON-DDA441EB21B1;100031,39;12;2,1698;29,381;9557,84;2015-06-30;2016-06-30;12;0,0;liquidado;0,0;;
ANON-C61AE3C5AA97;41970,66;24;2,3576;32,2638;2309,94;2015-07-01;2017-07-01;24;0,0;ativo;0,0;;
ANON-6E4050405E6A;12377,91;84;1,9612;26,2465;301,8;2015-07-01;2022-07-01;84;0,0;ativo;0,0;2025-07-30;2025-10-13
ANON-528894977C30;43236,37;48;1,6865;22,2249;1321,19;2015-07-02;2019-07-02;48;0,0;ativo;0,0;;
ANON-FBC5D02C99F1;99168,08;24;1,418;18,4079;4903,86;2015-07-03;2017-07-03;24;0,0;ativo;0,0;;
ANON-4D99163287A6;107841,49;72;1,842;24,4867;2716,3;2015-07-06;2021-07-06;72;0,0;ativo;0,0;;
ANON-014A2C100F67;48767,03;60;1,6449;21,6262;1284,95;2015-07-07;2020-07-07;60;0,0;ativo;0,0;;
ANON-69A08A6D60BD;53465,95;72;1,745;23,0713;1309,96;2015-07-10;2021-07-10;72;0,0;ativo;0,0;;
ANON-28693D4424CE;66111,4;84;1,9496;26,0742;1606,16;2015-07-10;2022-07-10;84;0,0;ativo;0,0;2025-10-28;2025-12-13
ANON-2C5BCCC85794;84907,2;72;1,7094;22,5556;2059,08;2015-07-11;2021-07-11;72;0,0;ativo;0,0;;
ANON-F6FE3874B35C;58426,72;12;1,863;24,7951;5478,43;2015-07-14;2016-07-14;12;0,0;liquidado;0,0;;
ANON-69687B635370;146213,97;12;2,1747;29,4555;13974,7;2015-07-16;2016-07-16;12;0,0;ativo;0,0;;
ANON-BA1103FC5066;9480,07;24;1,4431;18,76;470,16;2015-07-16;2017-07-16;24;0,0;ativo;0,0;2024-02-09;2024-09-08
ANON-C90DCC5C15AF;48330,63;60;1,9209;25,649;1363,87;2015-07-17;2020-07-17;60;0,0;liquidado;0,0;;
ANON-6E89F8B3DCF4;14470,8;96;1,5062;19,6495;286,06;2015-07-20;2023-07-20;96;0,0;ativo;0,0;;
ANON-017880F00396;139787,83;36;1,7534;23,1933;5269,44;2015-07-24;2018-07-24;36;0,0;ativo;0,0;;
ANON-A0202C4EBFB3;146269,44;72;2,377;32,565;4262,16;2015-07-24;2021-07-24;72;0,0;ativo;0,0;2019-06-18;2019-08-02
ANON-A0630169D4F6;141040,94;72;1,7485;23,1221;3459,09;2015-07-26;2021-07-26;72;0,0;ativo;0,0;;
ANON-B2103426FA6E;28990,92;72;2,3109;31,5415;830,2;2015-07-29;2021-07-29;72;0,0;liquidado;0,0;;
ANON-32C89F2355C3;145732,49;72;2,2332;30,3477;4087,96;2015-07-30;2021-07-30;72;0,0;ativo;0,0;;
ANON-BB0CA0D397E1;40773,11;96;1,5517;20,2947;819,58;2015-08-02;2023-08-02;96;0,0;inadimplente;819,58;2026-01-07;
ANON-73F64D161F2F;9596,21;12;1,5984;20,9602;885,18;2015-08-05;2016-08-05;12;0,0;inadimplente;885,18;2019-11-22;
ANON-ECDA851332FA;25732,94;24;1,6946;22,3418;1313,92;2015-08-07;2017-08-07;24;0,0;ativo;0,0;;
ANON-B71CAF68EE29;108034,23;60;1,8429;24,4999;2990,84;2015-08-08;2020-08-08;60;0,0;ativo;0,0;;
ANON-567FDC11D98F;71460,19;36;1,7763;23,5264;2703,86;2015-08-08;2018-08-08;36;0,0;liquidado;0,0;;
ANON-56A68F6A1C6F;90180,74;60;2,121;28,6414;2670,87;2015-08-10;2020-08-10;60;0,0;ativo;0,0;;
ANON-738664FC3E2A;38961,09;60;2,0282;27,2456;1128,5;2015-08-11;2020-08-11;60;0,0;liquidado;0,0;;
ANON-0D73B5F0783F;128538,41;96;2,2492;30,5927;3278,65;2015-08-14;2023-08-14;96;0,0;liquidado;0,0;;
ANON-7F43F5FB3E70;101111,25;36;2,0379;27,3908;3991,07;2015-08-17;2018-08-17;36;0,0;ativo;0,0;2018-05-31;2024-08-01
ANON-E507AFF9776E;93597,3;60;2,0371;27,3788;2716,84;2015-08-21;2020-08-21;60;0,0;ativo;0,0;;
ANON-0E66C1185CF0;94808,23;96;2,3501;32,1476;2496,54;2015-08-24;2023-08-24;96;0,0;ativo;0,0;2020-10-24;2021-04-03
ANON-5ADA8B294BDC;34149,86;12;1,9943;26,7392;3228,07;2015-08-26;2016-08-26;12;0,0;ativo;0,0;;
ANON-AB91F3B5F302;88878,71;96;1,5693;20,5451;1798,05;2015-08-27;2023-08-27;96;0,0;ativo;0,0;;
ANON-E506ADB0BBB0;50356,41;48;2,0869;28,1269;1670,88;2015-08-28;2019-08-28;48;0,0;liquidado;0,0;2019-04-06;2022-01-21
ANON-71B2E554F9FA;86797,42;84;2,2448;30,5253;2305,64;2015-08-29;2022-08-29;84;0,0;liquidado;0,0;;
ANON-FCC2D7D35E18;51513,36;12;2,2002;29,8437;4931,17;2015-09-01;2016-09-01;12;0,0;ativo;0,0;;
ANON-4C63E2C847F7;148928,39;36;1,6881;22,248;5554,25;2015-09-08;2018-09-08;36;0,0;liquidado;0,0;;
ANON-0BB783158C52;51512,15;60;1,8395;24,4501;1424,88;2015-09-09;2020-09-09;60;0,0;ativo;0,0;;
ANON-3FE58802BB45;11447,05;48;2,2919;31,2487;395,7;2015-09-09;2019-09-09;48;0,0;ativo;0,0;;
ANON-2A92266DAC8F;122273,44;48;1,9908;26,687;3978,88;2015-09-10;2019-09-10;48;0,0;liquidado;0,0;;
ANON-B73C20B5AE92;105288,4;96;1,886;25,1337;2381,96;2015-09-14;2023-09-14;96;0,0;ativo;0,0;;
ANON-6D0759CE953B;95234,49;24;2,1627;29,2732;5128,43;2015-09-19;2017-09-19;24;0,0;liquidado;0,0;;
ANON-5787698B835C;47138,15;84;1,6082;21,1003;1026,94;2015-09-19;2022-09-19;84;0,0;liquidado;0,0;;
ANON-2EEB6195B6CD;133316,28;60;2,185;29,6122;4008,93;2015-09-22;2020-09-22;60;0,0;ativo;0,0;;
ANON-F0C94F8FED4E;130534,91;96;1,8904;25,1985;2957,57;2015-09-28;2023-09-28;96;0,0;ativo;0,0;;
ANON-B5C72CE49DE7;57133,56;24;2,1426;28,9683;3069,73;2015-10-02;2017-10-02;24;0,0;ativo;0,0;;
ANON-66116F32E08D;120306,23;36;1,6573;21,8044;4464,12;2015-10-08;2018-10-08;36;0,0;liquidado;0,0;2018-06-21;2022-04-02
ANON-CCD88F4502AD;118714,44;84;2,0429;27,4658;2968,13;2015-10-09;2022-10-09;84;0,0;ativo;0,0;2024-01-13;2025-01-14
ANON-A22DEBEFD5C3;109682,16;12;1,9804;26,532;10359,02;2015-10-12;2016-10-12;12;0,0;ativo;0,0;;
ANON-5AE550866426;21122,57;96;1,9534;26,1306;488,94;2015-10-12;2023-10-12;96;0,0;inadimplente;488,94;2021-02-27;
ANON-516E20E509A6;79196,87;24;2,0554;27,6532;4213,55;2015-10-16;2017-10-16;24;0,0;ativo;0,0;;
ANON-7374701DF946;15416,18;60;1,7271;22,8118;414,68;2015-10-19;2020-10-19;60;0,0;liquidado;0,0;;
ANON-CBB36A5A8914;14170,15;84;2,3099;31,5261;383,66;2015-10-22;2022-10-22;84;0,0;inadimplente;383,66;2020-03-25;
ANON-9FF8E10A9350;71662,14;96;1,5329;20,0277;1430,61;2015-10-23;2023-10-23;96;0,0;liquidado;0,0;;
ANON-C617989F882C;64114,22;60;1,6794;22,1225;1704,09;2015-10-25;2020-10-25;60;0,0;ativo;0,0;;
ANON-AB226AABBF56;58208,82;48;2,2332;30,3477;1988,88;2015-10-29;2019-10-29;48;0,0;ativo;0,0;;
ANON-A5C21204FCE1;146335,24;24;1,7883;23,7013;7552,61;2015-10-31;2017-10-31;24;0,0;ativo;0,0;2026-03-05;2026-03-29
ANON-09237F1DCD6E;118582,16;48;2,2102;29,9963;4033,2;2015-11-05;2019-11-05;48;0,0;liquidado;0,0;;
ANON-55DCF48701AB;68220,72;60;1,625;21,3408;1788,5;2015-11-07;2020-11-07;60;0,0;liquidado;0,0;;
ANON-42D4EC89F567;47126,2;72;1,8555;24,6849;1191,55;2015-11-08;2021-11-08;72;0,0;liquidado;0,0;2023-03-18;2025-01-27
ANON-3C4ECF3D73A1;28781,84;72;2,169;29,3688;793,56;2015-11-08;2021-11-08;72;0,0;ativo;0,0;;
ANON-F20556C13F7F;110940,72;36;2,0605;27,7298;4394,92;2015-11-12;2018-11-12;36;0,0;ativo;0,0;2020-02-27;2021-09-17
ANON-C79063C1C22C;78799,08;60;1,6505;21,7066;2079,2;2015-11-15;2020-11-15;60;0,0;ativo;0,0;;
ANON-3A0F6CAE49DF;111942,38;72;1,7604;23,2951;2754,82;2015-11-15;2021-11-15;72;0,0;ativo;0,0;;
ANON-CE349DF05139;13643,91;24;1,4168;18,391;674,6;2015-11-16;2017-11-16;24;0,0;liquidado;0,0;;
ANON-BC25E85C3F02;134314,56;48;1,5702;20,5579;4004,86;2015-11-21;2019-11-21;48;0,0;ativo;0,0;;
ANON-08A0E7C1E30E;96590,53;60;2,1475;29,0425;2878,83;2015-11-24;2020-11-24;60;0,0;ativo;0,0;;
ANON-730531671028;62269,27;60;1,9317;25,8089;1761,86;2015-11-24;2020-11-24;60;0,0;ativo;0,0;;
ANON-4A9D51B2BB12;112263,03;72;1,5012;19,5788;2561,39;2015-11-26;2021-11-26;72;0,0;liquidado;0,0;;
ANON-D1146A89F02C;42069,62;72;1,7895;23,7188;1043,95;2015-11-30;2021-11-30;72;0,0;ativo;0,0;;
ANON-18B1BD830932;59010,77;60;1,4257;18,5158;1470,01;2015-12-02;2020-12-02;60;0,0;ativo;0,0;;
ANON-23DC1518CB22;21770,21;96;1,5968;20,9373;444,84;2015-12-02;2023-12-02;96;0,0;liquidado;0,0;;
ANON-48735B2E472D;30059,39;60;2,2398;30,4487;915,68;2015-12-03;2020-12-03;60;0,0;ativo;0,0;;
ANON-96D6BF4572A9;89248,97;36;2,1399;28,9274;3580,64;2015-12-11;2018-12-11;36;0,0;liquidado;0,0;;
ANON-252ABF5B529E;31895,65;12;1,7338;22,9089;2966,95;2015-12-13;2016-12-13;12;0,0;ativo;0,0;;
ANON-5CC91890A12E;57619,76;72;1,5923;20,8731;1350,51;2015-12-15;2021-12-15;72;0,0;liquidado;0,0;;
ANON-BD0D7490B471;113945,14;60;1,7549;23,2151;3086,37;2015-12-15;2020-12-15;60;0,0;ativo;0,0;;
ANON-2E14B5640139;89234,63;36;1,7104;22,57;3340,19;2015-12-16;2018-12-16;36;0,0;ativo;0,0;2018-04-01;2025-12-29
ANON-7589C846B8D4;90760,13;12;2,3238;31,7407;8753,82;2015-12-17;2016-12-17;12;0,0;ativo;0,0;2022-08-06;2023-07-06
ANON-DA2264B81F3C;6951,35;12;2,0362;27,3654;658,78;2015-12-17;2016-12-17;12;0,0;ativo;0,0;;
ANON-E85A7C3F9C9C;51163,95;12;1,5531;20,3146;4706,24;2015-12-21;2016-12-21;12;0,0;ativo;0,0;2019-02-17;2024-06-25
ANON-DD51A9A058E6;140615,24;60;1,4367;18,6701;3512,85;2015-12-24;2020-12-24;60;0,0;ativo;0,0;;
ANON-B26DE5D35240;8282,43;84;1,927;25,7393;199,81;2015-12-26;2022-12-26;84;0,0;inadimplente;199,81;2023-07-24;
ANON-44EACCECDCE7;4610,17;72;1,6606;21,8518;110,23;2015-12-26;2021-12-26;72;0,0;ativo;0,0;;
ANON-C10BC4BADEC4;122016,39;72;2,0903;28,1781;3293,04;2015-12-29;2021-12-29;72;0,0;ativo;0,0;;
ANON-B3ADA2A0CDEA;142382,19;72;1,954;26,1395;3700,9;2015-12-30;2021-12-30;72;0,0;inadimplente;3700,9;2017-12-06;
ANON-2E692B03E105;96766,73;84;1,6016;21,0059;2103,56;2015-12-31;2022-12-31;84;0,0;liquidado;0,0;;
ANON-6D6E5D837287;74988,17;12;1,5798;20,6947;6909,14;2016-01-03;2017-01-03;12;0,0;ativo;0,0;;
ANON-AF11FB51D063;137394,14;24;2,2757;30,9995;7493,02;2016-01-05;2018-01-05;24;0,0;ativo;0,0;;
ANON-E38697D137D7;55289,87;48;2,2128;30,0359;1881,49;2016-01-08;2020-01-08;48;0,0;ativo;0,0;;
ANON-AC82086F81ED;6858,59;72;2,357;32,2545;198,81;2016-01-13;2022-01-13;72;0,0;liquidado;0,0;;
ANON-9D1774CA4B2C;59414,33;60;1,7741;23,4944;1617,04;2016-01-14;2021-01-14;60;0,0;liquidado;0,0;;
ANON-44A17C310EB4;88040,16;48;1,9305;25,7911;2829,83;2016-01-17;2020-01-17;48;0,0;ativo;0,0;;
ANON-741140010D16;111381,47;72;2,2816;31,0902;3164,93;2016-01-18;2022-01-18;72;0,0;liquidado;0,0;;
ANON-6841C81E1417;72169,67;72;1,5422;20,1597;1666,76;2016-01-20;2022-01-20;72;0,0;ativo;0,0;;
ANON-D53087D62593;86718,95;60;1,7808;23,592;2364,1;2016-01-23;2021-01-23;60;0,0;ativo;0,0;;
ANON-F7C3156B6D7B;142490,85;60;2,3797;32,6069;4484,52;2016-01-23;2021-01-23;60;0,0;ativo;0,0;;
