id_contrato;ano_mes;mes_vida;saldo_devedor;status_mes
CTR-000003;2026-01;26;80901,99;ativo
CTR-000003;2026-02;27;79035,26;ativo
CTR-000003;2026-03;28;77141,98;ativo
CTR-000004;2017-11;1;139715,13;ativo
CTR-000004;2017-12;2;138813,25;ativo
CTR-000004;2018-01;3;137893,21;ativo
CTR-000004;2018-02;4;136954,64;ativo
CTR-000004;2018-03;5;135997,16;ativo
CTR-000004;2018-04;6;135020,4;ativo
CTR-000004;2018-05;7;134023,95;ativo
CTR-000004;2018-06;8;133007,44;ativo
CTR-000004;2018-07;9;131970,45;ativo
CTR-000004;2018-08;10;130912,57;ativo
CTR-000004;2018-09;11;129833,37;ativo
CTR-000004;2018-10;12;128732,44;ativo
CTR-000004;2018-11;13;127609,34;ativo
CTR-000004;2018-12;14;126463,61;ativo
CTR-000004;2019-01;15;125294,79;ativo
CTR-000004;2019-02;16;124102,44;ativo
CTR-000004;2019-03;17;122886,07;ativo
CTR-000004;2019-04;18;121645,19;ativo
CTR-000004;2019-05;19;120379,32;ativo
CTR-000004;2019-06;20;119087,94;ativo
CTR-000004;2019-07;21;117770,56;ativo
CTR-000004;2019-08;22;116426,63;ativo
CTR-000004;2019-09;23;115055,64;ativo
CTR-000004;2019-10;24;113657,03;ativo
CTR-000004;2019-11;25;112230,24;ativo
CTR-000004;2019-12;26;110774,71;ativo
CTR-000004;2020-01;27;109289,86;ativo
CTR-000004;2020-02;28;107775,1;ativo
CTR-000004;2020-03;29;106229,83;ativo
CTR-000004;2020-04;30;104653,43;ativo
CTR-000004;2020-05;31;103045,28;ativo
CTR-000004;2020-06;32;101404,73;ativo
CTR-000004;2020-07;33;99731,13;ativo
CTR-000004;2020-08;34;98023,82;ativo
CTR-000004;2020-09;35;96282,12;ativo
CTR-000004;2020-10;36;94505,33;ativo
CTR-000004;2020-11;37;92692,75;ativo
CTR-000004;2020-12;38;90843,66;ativo
CTR-000004;2021-01;39;88957,33;ativo
CTR-000004;2021-02;40;87032,99;ativo
CTR-000004;2021-03;41;85069,89;ativo
CTR-000004;2021-04;42;83067,24;ativo
CTR-000004;2021-05;43;81024,25;ativo
CTR-000004;2021-06;44;78940,11;ativo
CTR-000004;2021-07;45;76813,99;ativo
CTR-000004;2021-08;46;74645,04;ativo
CTR-000004;2021-09;47;72432,39;ativo
CTR-000004;2021-10;48;70175,18;ativo
CTR-000004;2021-11;49;67872,49;ativo
CTR-000004;2021-12;50;65523,42;ativo
CTR-000004;2022-01;51;63127,03;ativo
CTR-000004;2022-02;52;60682,37;ativo
CTR-000004;2022-03;53;58188,46;ativo
CTR-000004;2022-04;54;55644,32;ativo
CTR-000004;2022-05;55;53048,92;ativo
CTR-000004;2022-06;56;50401,24;ativo
CTR-000004;2022-07;57;47700,23;ativo
CTR-000004;2022-08;58;44944,81;ativo
CTR-000004;2022-09;59;42133,89;ativo
CTR-000004;2022-10;60;39266,34;ativo
CTR-000004;2022-11;61;36341,03;ativo
CTR-000004;2022-12;62;33356,79;ativo
CTR-000004;2023-01;63;30312,43;ativo
CTR-000004;2023-02;64;27206,75;ativo
CTR-000004;2023-03;65;24038,51;ativo
CTR-000004;2023-04;66;20806,45;ativo
CTR-000004;2023-05;67;17509,28;ativo
CTR-000004;2023-06;68;14145,69;ativo
CTR-000004;2023-07;69;10714,35;ativo
CTR-000004;2023-08;70;7213,89;ativo
CTR-000004;2023-09;71;3642,91;ativo
CTR-000004;2023-10;72;0,0;ativo
CTR-000005;2024-03;1;90289,53;ativo
CTR-000005;2024-04;2;89181,66;ativo
CTR-000005;2024-05;3;88049,13;ativo
CTR-000005;2024-06;4;86891,4;ativo
CTR-000005;2024-07;5;85707,9;ativo
CTR-000005;2024-08;6;84498,07;ativo
CTR-000005;2024-09;7;83261,31;ativo
CTR-000005;2024-10;8;81997,02;ativo
CTR-000005;2024-11;9;80704,6;ativo
CTR-000005;2024-12;10;79383,42;ativo
CTR-000005;2025-01;11;78032,83;ativo
CTR-000005;2025-02;12;76652,19;ativo
CTR-000005;2025-03;13;75240,82;ativo
CTR-000005;2025-04;14;73798,04;ativo
CTR-000005;2025-05;15;72323,15;ativo
CTR-000005;2025-06;16;70815,44;ativo
CTR-000005;2025-07;17;69274,17;ativo
CTR-000005;2025-08;18;67698,6;ativo
CTR-000005;2025-09;19;66087,97;ativo
CTR-000005;2025-10;20;64441,49;ativo
CTR-000005;2025-11;21;62758,37;ativo
CTR-000005;2025-12;22;61037,8;ativo
CTR-000005;2026-01;23;59278,93;ativo
CTR-000005;2026-02;24;57480,92;ativo
CTR-000005;2026-03;25;55642,89;ativo
CTR-000006;2021-05;1;105857,23;ativo
CTR-000006;2021-06;2;104852,69;ativo
CTR-000006;2021-07;3;103829,56;ativo
CTR-000006;2021-08;4;102787,49;ativo
CTR-000006;2021-09;5;101726,15;ativo
CTR-000006;2021-10;6;100645,16;ativo
CTR-000006;2021-11;7;99544,17;ativo
CTR-000006;2021-12;8;98422,81;ativo
CTR-000006;2022-01;9;97280,69;ativo
CTR-000006;2022-02;10;96117,44;ativo
CTR-000006;2022-03;11;94932,66;ativo
CTR-000006;2022-04;12;93725,96;ativo
CTR-000006;2022-05;13;92496,93;ativo
CTR-000006;2022-06;14;91245,16;ativo
CTR-000006;2022-07;15;89970,22;ativo
CTR-000006;2022-08;16;88671,69;ativo
CTR-000006;2022-09;17;87349,13;ativo
CTR-000006;2022-10;18;86002,1;ativo
CTR-000006;2022-11;19;84630,14;ativo
CTR-000006;2022-12;20;83232,79;ativo
CTR-000006;2023-01;21;81809,58;ativo
CTR-000006;2023-02;22;80360,04;ativo
CTR-000006;2023-03;23;78883,67;ativo
CTR-000006;2023-04;24;77379,98;ativo
CTR-000006;2023-05;25;75848,47;ativo
CTR-000006;2023-06;26;74288,62;ativo
CTR-000006;2023-07;27;72699,9;ativo
CTR-000006;2023-08;28;71081,78;ativo
CTR-000006;2023-09;29;69433,72;ativo
CTR-000006;2023-10;30;67755,16;ativo
CTR-000006;2023-11;31;66045,54;ativo
CTR-000006;2023-12;32;64304,29;ativo
CTR-000006;2024-01;33;62530,81;ativo
CTR-000006;2024-02;34;60724,51;ativo
CTR-000006;2024-03;35;58884,79;ativo
CTR-000006;2024-04;36;57011,02;ativo
CTR-000006;2024-05;37;55102,58;ativo
CTR-000006;2024-06;38;53158,82;ativo
CTR-000006;2024-07;39;51179,1;ativo
CTR-000006;2024-08;40;49162,74;ativo
CTR-000006;2024-09;41;47109,07;ativo
CTR-000006;2024-10;42;45017,39;ativo
CTR-000006;2024-11;43;42887,01;ativo
CTR-000006;2024-12;44;40717,2;ativo
CTR-000006;2025-01;45;38507,24;ativo
CTR-000006;2025-02;46;36256,39;ativo
CTR-000006;2025-03;47;33963,89;ativo
CTR-000006;2025-04;48;31628,96;ativo
CTR-000006;2025-05;49;29250,82;ativo
CTR-000006;2025-06;50;26828,68;ativo
CTR-000006;2025-07;51;24361,72;ativo
CTR-000006;2025-08;52;21849,1;ativo
CTR-000006;2025-09;53;19289,99;ativo
CTR-000006;2025-10;54;16683,52;ativo
CTR-000006;2025-11;55;14028,82;ativo
CTR-000006;2025-12;56;11324,99;ativo
CTR-000006;2026-01;57;8571,13;ativo
CTR-000006;2026-02;58;5766,31;ativo
CTR-000006;2026-03;59;2909,59;ativo
CTR-000007;2024-06;1;105807,34;ativo
CTR-000007;2024-07;2;104266,55;ativo
CTR-000007;2024-08;3;102701,64;ativo
CTR-000007;2024-09;4;101112,25;ativo
CTR-000007;2024-10;5;99497,99;ativo
CTR-000007;2024-11;6;97858,48;ativo
CTR-000007;2024-12;7;96193,3;ativo
CTR-000007;2025-01;8;94502,08;ativo
CTR-000007;2025-02;9;92784,39;ativo
CTR-000007;2025-03;10;91039,82;ativo
CTR-000007;2025-04;11;89267,96;ativo
CTR-000007;2025-05;12;87468,38;ativo
CTR-000007;2025-06;13;85640,63;ativo
CTR-000007;2025-07;14;83784,29;ativo
CTR-000007;2025-08;15;81898,9;ativo
CTR-000007;2025-09;16;79984,01;ativo
CTR-000007;2025-10;17;78039,15;ativo
CTR-000007;2025-11;18;76063,87;ativo
CTR-000007;2025-12;19;74057,68;ativo
CTR-000007;2026-01;20;72020,1;ativo
CTR-000007;2026-02;21;69950,63;ativo
CTR-000007;2026-03;22;67848,79;ativo
CTR-000008;2015-10;1;145888,2;ativo
CTR-000008;2015-11;2;142796,69;ativo
CTR-000008;2015-12;3;139652,99;ativo
CTR-000008;2016-01;4;136456,23;ativo
CTR-000008;2016-02;5;133205,49;ativo
CTR-000008;2016-03;6;129899,89;ativo
CTR-000008;2016-04;7;126538,48;ativo
CTR-000008;2016-05;8;123120,33;ativo
CTR-000008;2016-06;9;119644,47;ativo
CTR-000008;2016-07;10;116109,94;ativo
CTR-000008;2016-08;11;112515,74;ativo
CTR-000008;2016-09;12;108860,87;ativo
CTR-000008;2016-10;13;105144,3;ativo
CTR-000008;2016-11;14;101364,99;ativo
CTR-000008;2016-12;15;97521,89;ativo
CTR-000008;2017-01;16;93613,91;ativo
CTR-000008;2017-02;17;89639,95;ativo
CTR-000008;2017-03;18;85598,92;ativo
CTR-000008;2017-04;19;81489,66;ativo
CTR-000008;2017-05;20;77311,04;ativo
CTR-000008;2017-06;21;73061,88;ativo
CTR-000008;2017-07;22;68740,99;ativo
CTR-000008;2017-08;23;64347,16;ativo
CTR-000008;2017-09;24;59879,15;ativo
CTR-000008;2017-10;25;55335,72;ativo
CTR-000008;2017-11;26;50715,59;ativo
CTR-000008;2017-12;27;46017,48;ativo
CTR-000008;2018-01;28;41240,05;ativo
CTR-000008;2018-02;29;36381,97;ativo
CTR-000008;2018-03;30;31441,89;ativo
CTR-000008;2018-04;31;26418,41;ativo
CTR-000008;2018-05;32;21310,13;ativo
CTR-000008;2018-06;33;16115,62;ativo
CTR-000008;2018-07;34;10833,41;ativo
CTR-000008;2018-08;35;5462,04;ativo
CTR-000008;2018-09;36;0,0;ativo
CTR-000009;2023-11;1;50873,83;ativo
CTR-000009;2023-12;2;49839,07;ativo
CTR-000009;2024-01;3;48784,54;ativo
CTR-000009;2024-02;4;47709,87;ativo
CTR-000009;2024-03;5;46614,68;ativo
CTR-000009;2024-04;6;45498,56;ativo
CTR-000009;2024-05;7;44361,13;ativo
CTR-000009;2024-06;8;43201,98;ativo
CTR-000009;2024-07;9;42020,68;ativo
CTR-000009;2024-08;10;40816,82;ativo
CTR-000009;2024-09;11;39589,97;ativo
CTR-000009;2024-10;12;38339,68;ativo
CTR-000009;2024-11;13;37065,52;ativo
CTR-000009;2024-12;14;35767,02;ativo
CTR-000009;2025-01;15;34443,71;ativo
CTR-000009;2025-02;16;33095,13;ativo
CTR-000009;2025-03;17;31720,8;ativo
CTR-000009;2025-04;18;30320,21;ativo
CTR-000009;2025-05;19;28892,87;ativo
CTR-000009;2025-06;20;27438,27;ativo
CTR-000009;2025-07;21;25955,89;ativo
CTR-000009;2025-08;22;24445,2;ativo
CTR-000009;2025-09;23;22905,64;ativo
CTR-000009;2025-10;24;21336,69;ativo
CTR-000009;2025-11;25;19737,77;ativo
CTR-000009;2025-12;26;18108,3;ativo
CTR-000009;2026-01;27;16447,72;ativo
CTR-000009;2026-02;28;14755,42;ativo
CTR-000009;2026-03;29;13030,79;ativo
CTR-000010;2018-01;1;25188,86;ativo
CTR-000010;2018-02;2;25110,37;ativo
CTR-000010;2018-03;3;25030,12;ativo
CTR-000010;2018-04;4;24948,08;ativo
CTR-000010;2018-05;5;24864,21;ativo
CTR-000010;2018-06;6;24778,46;ativo
CTR-000010;2018-07;7;24690,79;ativo
CTR-000010;2018-08;8;24601,16;ativo
CTR-000010;2018-09;9;24509,52;ativo
CTR-000010;2018-10;10;24415,84;ativo
CTR-000010;2018-11;11;24320,06;ativo
CTR-000010;2018-12;12;24222,14;ativo
CTR-000010;2019-01;13;24122,03;ativo
CTR-000010;2019-02;14;24019,68;ativo
CTR-000010;2019-03;15;23915,03;ativo
CTR-000010;2019-04;16;23808,05;ativo
CTR-000010;2019-05;17;23698,68;ativo
CTR-000010;2019-06;18;23586,86;ativo
CTR-000010;2019-07;19;23472,54;ativo
CTR-000010;2019-08;20;23355,66;ativo
CTR-000010;2019-09;21;23236,17;ativo
CTR-000010;2019-10;22;23114,0;ativo
CTR-000010;2019-11;23;22989,1;ativo
CTR-000010;2019-12;24;22861,41;ativo
CTR-000010;2020-01;25;22730,86;ativo
CTR-000010;2020-02;26;22597,4;ativo
CTR-000010;2020-03;27;22460,94;ativo
CTR-000010;2020-04;28;22321,44;ativo
CTR-000010;2020-05;29;22178,81;ativo
CTR-000010;2020-06;30;22033,0;ativo
CTR-000010;2020-07;31;21883,92;ativo
CTR-000010;2020-08;32;21731,51;ativo
CTR-000010;2020-09;33;21575,69;ativo
CTR-000010;2020-10;34;21416,39;ativo
CTR-000010;2020-11;35;21253,52;ativo
CTR-000010;2020-12;36;21087,01;ativo
CTR-000010;2021-01;37;20916,77;ativo
CTR-000010;2021-02;38;20742,73;ativo
CTR-000010;2021-03;39;20564,79;ativo
CTR-000010;2021-04;40;20382,88;ativo
CTR-000010;2021-05;41;20196,89;ativo
CTR-000010;2021-06;42;20006,75;ativo
CTR-000010;2021-07;43;19812,35;ativo
CTR-000010;2021-08;44;19613,6;ativo
CTR-000010;2021-09;45;19410,41;ativo
CTR-000010;2021-10;46;19202,68;ativo
CTR-000010;2021-11;47;18990,29;ativo
CTR-000010;2021-12;48;18773,16;ativo
CTR-000010;2022-01;49;18551,17;ativo
CTR-000010;2022-02;50;18324,22;ativo
CTR-000010;2022-03;51;18092,19;ativo
CTR-000010;2022-04;52;17854,97;ativo
CTR-000010;2022-05;53;17612,44;ativo
CTR-000010;2022-06;54;17364,49;ativo
CTR-000010;2022-07;55;17110,99;ativo
CTR-000010;2022-08;56;16851,82;ativo
CTR-000010;2022-09;57;16586,86;ativo
CTR-000010;2022-10;58;16315,97;ativo
CTR-000010;2022-11;59;16039,02;ativo
CTR-000010;2022-12;60;15755,88;ativo
CTR-000010;2023-01;61;15466,4;ativo
CTR-000010;2023-02;62;15170,45;ativo
CTR-000010;2023-03;63;14867,87;ativo
CTR-000010;2023-04;64;14558,54;ativo
CTR-000010;2023-05;65;14242,28;ativo
CTR-000010;2023-06;66;13918,95;ativo
CTR-000010;2023-07;67;13588,38;ativo
CTR-000010;2023-08;68;13250,43;ativo
CTR-000010;2023-09;69;12904,91;ativo
CTR-000010;2023-10;70;12551,66;ativo
CTR-000010;2023-11;71;12190,52;ativo
CTR-000010;2023-12;72;11821,3;ativo
CTR-000010;2024-01;73;11443,81;ativo
CTR-000010;2024-02;74;11057,89;ativo
CTR-000010;2024-03;75;10663,33;ativo
CTR-000010;2024-04;76;10259,95;ativo
CTR-000010;2024-05;77;9847,55;ativo
CTR-000010;2024-06;78;9425,92;ativo
CTR-000010;2024-07;79;8994,86;ativo
CTR-000010;2024-08;80;8554,16;ativo
CTR-000010;2024-09;81;8103,6;ativo
CTR-000010;2024-10;82;7642,96;ativo
CTR-000010;2024-11;83;7172,03;ativo
CTR-000010;2024-12;84;6690,55;ativo
CTR-000010;2025-01;85;6198,31;ativo
CTR-000010;2025-02;86;5695,06;ativo
CTR-000010;2025-03;87;5180,55;ativo
CTR-000010;2025-04;88;4654,54;ativo
CTR-000010;2025-05;89;4116,76;ativo
CTR-000010;2025-06;90;3566,95;ativo
CTR-000010;2025-07;91;3004,84;ativo
CTR-000010;2025-08;92;2430,16;ativo
CTR-000010;2025-09;93;1842,63;ativo
CTR-000010;2025-10;94;1241,96;ativo
CTR-000010;2025-11;95;627,85;ativo
CTR-000010;2025-12;96;0,0;ativo
CTR-000011;2019-01;1;77762,02;ativo
CTR-000011;2019-02;2;77158,78;ativo
CTR-000011;2019-03;3;76546,06;ativo
CTR-000011;2019-04;4;75923,71;ativo
CTR-000011;2019-05;5;75291,58;ativo
CTR-000011;2019-06;6;74649,51;ativo
CTR-000011;2019-07;7;73997,35;ativo
CTR-000011;2019-08;8;73334,94;ativo
CTR-000011;2019-09;9;72662,12;ativo
CTR-000011;2019-10;10;71978,72;ativo
CTR-000011;2019-11;11;71284,58;ativo
CTR-000011;2019-12;12;70579,53;ativo
CTR-000011;2020-01;13;69863,4;ativo
CTR-000011;2020-02;14;69136,01;ativo
CTR-000011;2020-03;15;68397,19;ativo
CTR-000011;2020-04;16;67646,75;ativo
CTR-000011;2020-05;17;66884,52;ativo
CTR-000011;2020-06;18;66110,31;ativo
CTR-000011;2020-07;19;65323,93;ativo
CTR-000011;2020-08;20;64525,19;ativo
CTR-000011;2020-09;21;63713,9;ativo
CTR-000011;2020-10;22;62889,85;ativo
CTR-000011;2020-11;23;62052,85;ativo
CTR-000011;2020-12;24;61202,7;ativo
CTR-000011;2021-01;25;60339,18;ativo
CTR-000011;2021-02;26;59462,09;ativo
CTR-000011;2021-03;27;58571,22;ativo
CTR-000011;2021-04;28;57666,34;ativo
CTR-000011;2021-05;29;56747,24;ativo
CTR-000011;2021-06;30;55813,69;ativo
CTR-000011;2021-07;31;54865,47;ativo
CTR-000011;2021-08;32;53902,34;ativo
CTR-000011;2021-09;33;52924,08;ativo
CTR-000011;2021-10;34;51930,44;ativo
CTR-000011;2021-11;35;50921,18;ativo
CTR-000011;2021-12;36;49896,05;ativo
CTR-000011;2022-01;37;48854,82;ativo
CTR-000011;2022-02;38;47797,22;ativo
CTR-000011;2022-03;39;46722,99;ativo
CTR-000011;2022-04;40;45631,88;ativo
CTR-000011;2022-05;41;44523,63;ativo
CTR-000011;2022-06;42;43397,95;ativo
CTR-000011;2022-07;43;42254,57;ativo
CTR-000011;2022-08;44;41093,23;ativo
CTR-000011;2022-09;45;39913,63;ativo
CTR-000011;2022-10;46;38715,49;ativo
CTR-000011;2022-11;47;37498,52;ativo
CTR-000011;2022-12;48;36262,42;ativo
CTR-000011;2023-01;49;35006,89;ativo
CTR-000011;2023-02;50;33731,63;ativo
CTR-000011;2023-03;51;32436,32;ativo
CTR-000011;2023-04;52;31120,66;ativo
CTR-000011;2023-05;53;29784,31;ativo
CTR-000011;2023-06;54;28426,96;ativo
CTR-000011;2023-07;55;27048,27;ativo
CTR-000011;2023-08;56;25647,92;ativo
CTR-000011;2023-09;57;24225,55;ativo
CTR-000011;2023-10;58;22780,83;ativo
CTR-000011;2023-11;59;21313,39;ativo
CTR-000011;2023-12;60;19822,9;ativo
CTR-000011;2024-01;61;18308,97;ativo
CTR-000011;2024-02;62;16771,25;ativo
CTR-000011;2024-03;63;15209,36;ativo
CTR-000011;2024-04;64;13622,92;ativo
CTR-000011;2024-05;65;12011,54;ativo
CTR-000011;2024-06;66;10374,84;ativo
CTR-000011;2024-07;67;8712,41;ativo
CTR-000011;2024-08;68;7023,85;ativo
CTR-000011;2024-09;69;5308,75;ativo
CTR-000011;2024-10;70;3566,69;ativo
CTR-000011;2024-11;71;1797,25;ativo
CTR-000011;2024-12;72;0,0;ativo
CTR-000012;2015-07;1;74459,67;ativo
CTR-000012;2015-08;2;68344,5;ativo
CTR-000012;2015-09;3;62106,28;ativo
CTR-000012;2015-10;4;55742,55;ativo
CTR-000012;2015-11;5;49250,77;ativo
CTR-000012;2015-12;6;42628,37;ativo
CTR-000012;2016-01;7;35872,73;ativo
CTR-000012;2016-02;8;28981,15;ativo
CTR-000012;2016-03;9;21950,91;ativo
CTR-000012;2016-04;10;14779,21;ativo
CTR-000012;2016-05;11;7463,21;ativo
CTR-000012;2016-06;12;0,0;ativo
CTR-000013;2025-07;1;27420,96;ativo
CTR-000013;2025-08;2;27331,07;ativo
CTR-000013;2025-09;3;27239,24;ativo
CTR-000013;2025-10;4;27145,43;ativo
CTR-000013;2025-11;5;27049,6;ativo
CTR-000013;2025-12;6;26951,71;ativo
CTR-000013;2026-01;7;26851,71;ativo
CTR-000013;2026-02;8;26749,56;ativo
CTR-000013;2026-03;9;26645,21;ativo
CTR-000014;2022-02;1;91848,4;ativo
CTR-000014;2022-03;2;91331,71;ativo
CTR-000014;2022-04;3;90802,94;ativo
CTR-000014;2022-05;4;90261,83;ativo
CTR-000014;2022-06;5;89708,07;ativo
CTR-000014;2022-07;6;89141,38;ativo
CTR-000014;2022-08;7;88561,45;ativo
CTR-000014;2022-09;8;87967,97;ativo
CTR-000014;2022-10;9;87360,63;ativo
CTR-000014;2022-11;10;86739,1;ativo
CTR-000014;2022-12;11;86103,05;ativo
CTR-000014;2023-01;12;85452,15;ativo
CTR-000014;2023-02;13;84786,04;ativo
CTR-000014;2023-03;14;84104,37;ativo
CTR-000014;2023-04;15;83406,77;ativo
CTR-000014;2023-05;16;82692,88;ativo
CTR-000014;2023-06;17;81962,32;ativo
CTR-000014;2023-07;18;81214,68;ativo
CTR-000014;2023-08;19;80449,58;ativo
CTR-000014;2023-09;20;79666,61;ativo
CTR-000014;2023-10;21;78865,35;ativo
CTR-000014;2023-11;22;78045,38;ativo
CTR-000014;2023-12;23;77206,24;ativo
CTR-000014;2024-01;24;76347,51;ativo
CTR-000014;2024-02;25;75468,71;ativo
CTR-000014;2024-03;26;74569,39;ativo
CTR-000014;2024-04;27;73649,06;ativo
CTR-000014;2024-05;28;72707,23;ativo
CTR-000014;2024-06;29;71743,4;ativo
CTR-000014;2024-07;30;70757,05;ativo
CTR-000014;2024-08;31;69747,66;ativo
CTR-000014;2024-09;32;68714,69;ativo
CTR-000014;2024-10;33;67657,6;ativo
CTR-000014;2024-11;34;66575,8;ativo
CTR-000014;2024-12;35;65468,74;ativo
CTR-000014;2025-01;36;64335,82;ativo
CTR-000014;2025-02;37;63176,43;ativo
CTR-000014;2025-03;38;61989,96;ativo
CTR-000014;2025-04;39;60775,77;ativo
CTR-000014;2025-05;40;59533,22;ativo
CTR-000014;2025-06;41;58261,65;ativo
CTR-000014;2025-07;42;56960,37;ativo
CTR-000014;2025-08;43;55628,69;ativo
CTR-000014;2025-09;44;54265,9;ativo
CTR-000014;2025-10;45;52871,28;ativo
CTR-000014;2025-11;46;51444,08;ativo
CTR-000014;2025-12;47;49983,54;ativo
CTR-000014;2026-01;48;48488,88;ativo
CTR-000014;2026-02;49;46959,31;ativo
CTR-000014;2026-03;50;45394,01;ativo
CTR-000015;2025-11;1;2866,75;ativo
CTR-000015;2025-12;2;2625,31;ativo
CTR-000015;2026-01;3;2380,2;ativo
CTR-000015;2026-02;4;2131,38;ativo
CTR-000015;2026-03;5;1878,78;ativo
CTR-000016;2021-05;1;138458,23;ativo
CTR-000016;2021-06;2;137676,09;ativo
CTR-000016;2021-07;3;136875,76;ativo
CTR-000016;2021-08;4;136056,8;ativo
CTR-000016;2021-09;5;135218,8;ativo
CTR-000016;2021-10;6;134361,29;ativo
CTR-000016;2021-11;7;133483,84;ativo
CTR-000016;2021-12;8;132585,98;ativo
CTR-000016;2022-01;9;131667,23;ativo
CTR-000016;2022-02;10;130727,1;ativo
CTR-000016;2022-03;11;129765,1;ativo
CTR-000016;2022-04;12;128780,73;ativo
CTR-000016;2022-05;13;127773,45;ativo
CTR-000016;2022-06;14;126742,74;ativo
CTR-000016;2022-07;15;125688,05;ativo
CTR-000016;2022-08;16;124608,82;ativo
CTR-000016;2022-09;17;123504,49;ativo
CTR-000016;2022-10;18;122374,47;ativo
CTR-000016;2022-11;19;121218,16;ativo
CTR-000016;2022-12;20;120034,94;ativo
CTR-000016;2023-01;21;118824,2;ativo
CTR-000016;2023-02;22;117585,3;ativo
CTR-000016;2023-03;23;116317,57;ativo
CTR-000016;2023-04;24;115020,35;ativo
CTR-000016;2023-05;25;113692,95;ativo
CTR-000016;2023-06;26;112334,67;ativo
CTR-000016;2023-07;27;110944,79;ativo
CTR-000016;2023-08;28;109522,58;ativo
CTR-000016;2023-09;29;108067,28;ativo
CTR-000016;2023-10;30;106578,13;ativo
CTR-000016;2023-11;31;105054,33;ativo
